Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilman lämpötila (degC)
2019,4,1,00:00,UTC,-6.6
2019,4,1,01:00,UTC,-6
2019,4,1,02:00,UTC,-6.1
2019,4,1,03:00,UTC,-6.3
2019,4,1,04:00,UTC,-6.6
2019,4,1,05:00,UTC,-5.5
2019,4,1,06:00,UTC,-4.3
2019,4,1,07:00,UTC,-2.9
2019,4,1,08:00,UTC,
2019,4,1,09:00,UTC,0.3
2019,4,1,10:00,UTC,1.4
2019,4,1,11:00,UTC,
2019,4,1,12:00,UTC,1.3
2019,4,1,13:00,UTC,1.7
2019,4,1,14:00,UTC,1.3
2019,4,1,15:00,UTC,0.5
2019,4,1,16:00,UTC,0
2019,4,1,17:00,UTC,-1.1
2019,4,1,18:00,UTC,-2.7
2019,4,1,19:00,UTC,-3
2019,4,1,20:00,UTC,-3.3
2019,4,1,21:00,UTC,-4.3
2019,4,1,22:00,UTC,-6.5
2019,4,1,23:00,UTC,-5.4
2019,4,2,00:00,UTC,-5.7
2019,4,2,01:00,UTC,-6.7
2019,4,2,02:00,UTC,-5.7
2019,4,2,03:00,UTC,-6.1
2019,4,2,04:00,UTC,-4.1
2019,4,2,05:00,UTC,-3.6
2019,4,2,06:00,UTC,
2019,4,2,07:00,UTC,-1.9
2019,4,2,08:00,UTC,-0.9
2019,4,2,09:00,UTC,1
2019,4,2,10:00,UTC,3.4
2019,4,2,11:00,UTC,4
2019,4,2,12:00,UTC,5.5
2019,4,2,13:00,UTC,5.6
2019,4,2,14:00,UTC,5.3
2019,4,2,15:00,UTC,5.2
2019,4,2,16:00,UTC,4.7
2019,4,2,17:00,UTC,3.6
2019,4,2,18:00,UTC,3.4
2019,4,2,19:00,UTC,1.4
2019,4,2,20:00,UTC,1.9
2019,4,2,21:00,UTC,0.1
2019,4,2,22:00,UTC,-1.2
2019,4,2,23:00,UTC,-2.6
2019,4,3,00:00,UTC,-2.9
2019,4,3,01:00,UTC,-3.7
2019,4,3,02:00,UTC,-7.2
2019,4,3,03:00,UTC,-5.9
2019,4,3,04:00,UTC,-8.9
2019,4,3,05:00,UTC,-8.2
2019,4,3,06:00,UTC,-2.8
2019,4,3,07:00,UTC,-1.3
2019,4,3,08:00,UTC,0.6
2019,4,3,09:00,UTC,2.2
2019,4,3,10:00,UTC,3.3
2019,4,3,11:00,UTC,4.1
2019,4,3,12:00,UTC,4.4
2019,4,3,13:00,UTC,4.6
2019,4,3,14:00,UTC,4.8
2019,4,3,15:00,UTC,4.3
2019,4,3,16:00,UTC,3.8
2019,4,3,17:00,UTC,3.2
2019,4,3,18:00,UTC,3.1
2019,4,3,19:00,UTC,2.4
2019,4,3,20:00,UTC,2.1
2019,4,3,21:00,UTC,1.4
2019,4,3,22:00,UTC,0.4
2019,4,3,23:00,UTC,0
2019,4,4,00:00,UTC,0
2019,4,4,01:00,UTC,-0.4
2019,4,4,02:00,UTC,-0.8
2019,4,4,03:00,UTC,-1
2019,4,4,04:00,UTC,-1.5
2019,4,4,05:00,UTC,-1.8
2019,4,4,06:00,UTC,-2.1
2019,4,4,07:00,UTC,-2.2
2019,4,4,08:00,UTC,-2
2019,4,4,09:00,UTC,-1.3
2019,4,4,10:00,UTC,-0.9
2019,4,4,11:00,UTC,-0.5
2019,4,4,12:00,UTC,-0.1
2019,4,4,13:00,UTC,-0.4
2019,4,4,14:00,UTC,-0.3
2019,4,4,15:00,UTC,-0.7
2019,4,4,16:00,UTC,-1.3
2019,4,4,17:00,UTC,-2.3
2019,4,4,18:00,UTC,-3.9
