"Valuuttakurssit, kuukauden keskiarvo",,,,,,,,
,,,,,,,,
,,,,,,,,
Ajanjakso,USD,JPY,GBP,,,SEK,RUB,CAD
Maaliskuu 2019,"1,1302","125,67","0,85822",,,"10,4999","73,6288","1,5104"
Helmikuu 2019,"1,1351","125,28","0,87264",,,"10,4986","74,7184","1,4995"
Tammikuu 2019,"1,1416","124,34","0,88603",,,"10,2685","76,3055","1,5196"
Joulukuu 2018,"1,1384","127,88","0,89774",,,"10,2766","76,6804","1,5278"
Marraskuu 2018,"1,1367","128,79","0,88118",,,"10,2918","75,5508","1,4998"
Lokakuu 2018,"1,1484","129,62","0,88272",,,"10,3839","75,6102","1,4935"
Syyskuu 2018,"1,1659","130,54","0,89281",,,"10,4426","78,8756","1,5211"
Elokuu 2018,"1,1549","128,20","0,89687",,,"10,4668","76,6684","1,5063"
Heinäkuu 2018,"1,1686","130,23","0,88726",,,"10,3076","73,3942","1,5356"
Kesäkuu 2018,"1,1678","128,53","0,87886",,,"10,2788","73,2934","1,5327"
Toukokuu 2018,"1,1812","129,57","0,87726",,,"10,3419","73,6504","1,5197"
Huhtikuu 2018,"1,2276","132,16","0,87212",,,"10,3717","75,0983","1,5622"
Maaliskuu 2018,"1,2336","130,86","0,88287",,,"10,1608","70,5195","1,5943"
Helmikuu 2018,"1,2348","133,29","0,88396",,,"9,9384","70,2041","1,5526"
Tammikuu 2018,"1,2200","135,25","0,88331",,,"9,8200","69,1156","1,5167"
Joulukuu 2017,"1,1836","133,64","0,88265",,,"9,9370","69,4092","1,5108"
Marraskuu 2017,"1,1738","132,39","0,88795",,,"9,8479","69,2093","1,4978"
Lokakuu 2017,"1,1756","132,76","0,89071",,,"9,6138","67,8647","1,4801"
Syyskuu 2017,"1,1915","131,92","0,89470",,,"9,5334","68,6987","1,4639"
Elokuu 2017,"1,1807","129,70","0,91121",,,"9,5485","70,2902","1,4889"
Heinäkuu 2017,"1,1511","129,48","0,88617",,,"9,5892","68,7707","1,4641"
Kesäkuu 2017,"1,1229","124,58","0,87724",,,"9,7538","65,1136","1,4941"
Toukokuu 2017,"1,1058","124,09","0,85554",,,"9,7097","63,1641","1,5041"
